"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
36,61,"Bedoussac L., Journet E.-P., Hauggaard-Nielsen H., Naudin C., Corre-Hellou G., Jensen E.S., Prieur L., Justes E.",2015,"Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review","Bedoussac, L., Journet, E. P., Hauggaard-Nielsen, H., Naudin, C., Corre-Hellou, G., Jensen, E. S., . . . Justes, E. (2015). Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review. Agronomy for Sustainable Development, 35(3), 911-935. doi:10.1007/s13593-014-0277-7","Plot","Review","Denmark, France","Europe","HIC","No synthetic","rainfed",1.22222222,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,1.7142857,NA,NA,NA,NA,1.1590909,NA,NA,NA,NA,NA,1.216637782,NA,NA,NA,1.27,1.1326531,NA,NA,NA,NA,NA,NA,"Win-Win"
66,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09352","Plot","Experiment (research station)","Australia","Oceania","HIC","Synthetic - below threshold","rainfed",1.74489183388267,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02289019224503,NA,NA,NA,NA,NA,NA,"Win-Win"
67,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09353","Plot","Experiment (research station)","Australia","Oceania","HIC","Synthetic - below threshold","rainfed",1.05383038203914,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03508157521366,NA,NA,NA,NA,NA,NA,"Win-Win"
68,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09354","Plot","Experiment (research station)","Australia","Oceania","HIC","Synthetic - below threshold","rainfed",1.20116220235814,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30998168498168,NA,NA,NA,NA,NA,NA,"Win-Win"
69,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09355","Plot","Experiment (research station)","Australia","Oceania","HIC","Synthetic - below threshold","rainfed",1.20510648410788,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27838827838828,NA,NA,NA,NA,NA,NA,"Win-Win"
111,762,"Isaacs KB, Snapp SS, Chung K, Waldman KB.",2016,"Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda.","Isaacs, K. B., Snapp, S. S., Chung, K., & Waldman, K. B. (2016). Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda. Food Security, 8(3), 491-506. doi:10.1007/s12571-016-0582-x","Plot","Experiment (research station)","Rwanda","Africa","LIC","Synthetic - below threshold","rainfed",0.982599431818182,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,1.43892617449664,NA,NA,NA,NA,NA,NA,"Lose-Win"
112,762,"Isaacs KB, Snapp SS, Chung K, Waldman KB.",2016,"Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda.","Isaacs, K. B., Snapp, S. S., Chung, K., & Waldman, K. B. (2016). Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda. Food Security, 8(3), 491-506. doi:10.1007/s12571-016-0582-x","Plot","Experiment (research station)","Rwanda","Africa","LIC","Synthetic - below threshold","rainfed",1.4625,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,1.44912280701754,NA,NA,NA,NA,NA,NA,"Win-Mix"
151,309,"Kumar M., Kumar R., Rangnamei K.L., Das A., Meena K.L., Rajkhowa D.J.",2019,"Crop diversification for enhancing the productivity for food and nutritional security under the Eastern Himalayas","Kumar, M., Kumar, R., Rangnamei, K. L., Das, A., Meena, K. L., & Rajkhowa, D. J. (2019). Crop diversification for enhancing the productivity for food and nutritional security under the Eastern Himalayas. Indian Journal of Agricultural Sciences, 89(7), 1157-1161.","Field","Experiment (on farm)","India","Asia","LMIC","Unknown","rainfed",5.89473684210526,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,1.336898396,NA,NA,NA,NA,NA,NA,NA,2.83333333333333,NA,NA,NA,NA,11.4286219081272,NA,NA,1.03583061889251,1.78310502283105,1.52791178497588,NA,NA,NA,NA,NA,NA,"Win-Mix"
162,348,"Lopez-Ridaura S., Barba-Escoto L., Reyna-Ramirez C.A., Sum C., Palacios-Rojas N., Gerard B.",2021,"Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala","Lopez-Ridaura, S., Barba-Escoto, L., Reyna-Ramirez, C. A., Sum, C., Palacios-Rojas, N., & Gerard, B. (2021). Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala. Sci Rep, 11(1), 3696. doi:10.1038/s41598-021-82784-2","Farm","Recall (survey)","Guatemala","South America","UMIC","Unknown","rainfed",1.05098435133771,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35294117647059,NA,NA,NA,NA,NA,NA,"Win-Win"
163,348,"Lopez-Ridaura S., Barba-Escoto L., Reyna-Ramirez C.A., Sum C., Palacios-Rojas N., Gerard B.",2021,"Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala","Lopez-Ridaura, S., Barba-Escoto, L., Reyna-Ramirez, C. A., Sum, C., Palacios-Rojas, N., & Gerard, B. (2021). Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala. Sci Rep, 11(1), 3696. doi:10.1038/s41598-021-82784-3","Farm","Recall (survey)","Guatemala","South America","UMIC","Unknown","rainfed",1.07218576476527,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52941176470588,NA,NA,NA,NA,NA,NA,"Win-Win"
