"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
346,618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,"Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics","Thomas, G. A., Dalal, R. C., Weston, E. J., King, A. J., Holmes, C. J., Orange, D. N., & Lehane, K. J. (2010). Crop Rotations for Sustainable Grain Production on a Vertisol in the Semi-Arid Subtropics. Journal of Sustainable Agriculture, 35(1), 2-26. doi:10.1080/10440046.2011.530195","Plot","Quantitative","Experiment (on farm)","RC","1996-2005","10","3","2","1","3","1","5-10","3-4","Yes","Yes","Soil fertility decline, climate","Australia","High Income Countries",3,"St George, Queensland","Australia","HIC","-28.5","148.75","No","NA","Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Rotation","Rotation",1,0,0,"Rotation","Zero tillage; Two levels of N application (0, 70)","Tillage practices","Fertilizer rates/type","Grain / Chickpea","Wheat","Chickpea",1,0,0,0,0,0,0,0,0,0,"0",NA,"4-8-0, 74-8-0","Synthetic - below threshold","rainfed","1.16259274","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","1.1115090000000001","NA","NA","NA",2.376328502,"NA","NA","NA","1.1608008000000001","1.0374326","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","Seasonal conditions; Reduction of disease by chickpeas: ""The increase in grain yield in wheat following chickpea, compared with continuous wheat, was apparently due to the combined effects of the chickpea phase in providing soil nitrogen benefit and in reducing the build-up of plant disease"";","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""; History of nutrification of soil: ""chickpea biomass and N2 fixation for a particular value of soil nitrate-N may decrease as rainfall decreases and potential evapotranspiration increases, which may explain the lower N2 fixation values in south-west Queensland to some extent. Peoples et al. (2001) concluded that N2 fixation by legumes in summer-dominant rainfall regions of eastern Australia was greatly influenced by large variations in %Ndfa caused by yearly fluctuations in growing season (April to October) rainfall and farmer practice which resulted in a build up of soil mineral-N prior to sowing. The net result was a lower average reliance of legumes on N2 fixation for growth and more variable relationships between N2 fixation and dry matter accumulation than in winter-dominant rainfall areas""","Grain prices favourable for crop choice","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""",NA,"Table 5",NA,2,2,2,2,2,2,12
215,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Quantitative","Participatory Action Research","RC","2005-2011","6","3","1","2","6","2","5-10","11-100","Yes","Yes","Poverty","Malawi","Subsaharan Africa",1,"Zidyana","Africa","LIC","-12.843420206391199","34.187862659719997","No",NA,"Experiment (on farm)","Farmer-led","Farmer-led","Intercropping: cereal-legume + rotation: cereal-legume","Intercrop-Rotation",1,0,0,"Row","Conservation agriculture + herbicides","Tillage practices","Pest management","Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"69:21:00","Synthetic - below threshold","rainfed","1.115906432748538","NA","NA","NA","NA","NA","NA","NA","NA",1.00811907983762,"NA","0.75592652070490707","NA","1.2525896972097061","NA","NA",0.930487942941243,"NA","NA","0.76190476190476186","NA","NA","NA","NA","NA","NA","NA","NA","Mix-Lose","NA","NA","NA","NA","NA","NA","NA","NA","Farmers are hesitant to grow more legumes if there are no readily available markets for the sale of produce","Conservation agriculture (combination of differences in tillage and land preparation methods, residue management, cropping systems and weed control strategies): ""Mulch cover improved water infiltration even after the first season, especially under drier or moisture-limited conditions, thereby improving the effect on soil water balance""","Pest infestation and rainfall variability with dry spells caused grain yields lower than the potential: ""inadequate number of sprays against insect pests such as aphids (Aphis gossypii) and elegant grasshoppers (Dichromorpha elegans) as well as dry spells causing flower abortion""","NA","Dry spells (rainfall variability)","biodiversity: Differences between treatments in the faunal groups of earthworm and termites were only observed in Zidyana (Table 5). At Lemu, spatial variability of these faunal groups was too large to detect any significant difference between treatments. In Zidyana, the earthworm population was highest (48earthwormsm−2) in CAM, followed by CAML (40earthwormsm−2) and lowest (9earthwormsm−2) in CPM treatment. At both sites centipede populations were higher in the top 30cm of soil of CAM than CPM, whereas the rest of the faunal populations did not show significant difference between treatments.","Figure 5+Table 1 (Yield); Table 6 (H2O infoltration); Table 4 (Soil organic C); Figure 6 (Biomass); Table 5 (Biodiversity); Table 3 (Income)",NA,2,2,2,2,2,2,12
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain /  Groundnut","Cassava","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.91414141414141403","NA","NA","NA","NA","NA","NA","NA","NA",1.0581255,"NA","1.0514950000000001","1.6041666999999999","NA","NA","NA",3.0375,"NA","NA","NA","1.6","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Soybean","Cassava","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84343434343434331","NA","NA","NA","NA","NA","NA","NA","NA",0.9614512,"NA","1.0830565000000001","1.0625","NA","NA","NA",1.275,"NA","NA","NA","1.45","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Mungbean","Cassava","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84848484848484851","NA","NA","NA","NA","NA","NA","NA","NA",0.9665911,"NA","1.0472868","1.2083333000000001","NA","NA","NA",0.675,"NA","NA","NA","1.59","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
116,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain /  Cowpea","Cassava","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84343434343434331","NA","NA","NA","NA","NA","NA","NA","NA",1.1030234,"NA","1","1.5208333000000001","NA","NA","NA",0.4125,"NA","NA","NA","1.5","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
93,199,"Gitari H.I., Gachene C.K.K., Karanja N.N., Kamau S., Nyawade S., Sharma K., Schulte-Geldermann E.",2018,"Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems","Gitari, H. I., Gachene, C. K. K., Karanja, N. N., Kamau, S., Nyawade, S., Sharma, K., & Schulte-Geldermann, E. (2018). Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems. Agricultural Water Management, 208, 59-66. doi:10.1016/j.agwat.2018.06.005","Plot","Quantitative","Experiment (research station)","E/M","2014-2016","3","4","3","1","4","1","2-4","3-4","Yes","Yes","Weather fluctuation","Kenya","Subsaharan Africa",1,"Upper Kabete Campus, University of Nairobi, Nairobi","Africa","LMIC","-1.25223440462695","36.728764710387701","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Pesticide to control potato blight and aphids on legumes; fertiliser, weeding, staking for beans and ridging for potatoes","Weed/pest management","Fertilizer rates/type","Non-Grain / Dolichos","Potato","Other",0,0,0,0,0,0,0,0,0,0,"Dolichos (lablab bean)","Dolichos (lablab bean)","88-34-34","Synthetic - below threshold","rainfed","1.2124999999999999","NA","NA","NA","NA","NA","NA","NA","NA",1.2561,"NA","NA","NA","NA","NA","NA",1.2352,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes: cultivation cost (material assets - cost of inputs ie seed, fertilizer, fungicides, pesticides + labour) vs income gain (""highest cost of
 production was incurred under potato-legume intercropping systems ranging from US$ 1550 ha−1 in PG to US$ 1600 ha−1 in PD, compared
 to US$ 1450 ha−1 in PS. Nevertheless, these potato-legume intercropping
 systems were the most profitable with net income of US$ 9174,
 8496, 7884 ha−1 for PD, PB and PG, respectively compared to PS (US$
 7436 ha−1). This resulted in higher benefit: cost ratios"")","Smallholder farmers reliant on rain-fed agriculture, especially women- dolichos also has high socio-economic value to many African communities","NA","Rainfall fluctuation (below average, highly concentrated into one rain event: legumes use available soil water more effectively than cereals due to higher groundcover which helps intercept rainfall)","NA","High market price of legumes over potato; Gender: dolichos also has high socio-economic value to many African communities as consumed by lactating mothers","NA","NA","NA",NA,2,2,2,2,2,2,12
94,199,"Gitari H.I., Gachene C.K.K., Karanja N.N., Kamau S., Nyawade S., Sharma K., Schulte-Geldermann E.",2018,"Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems","Gitari, H. I., Gachene, C. K. K., Karanja, N. N., Kamau, S., Nyawade, S., Sharma, K., & Schulte-Geldermann, E. (2018). Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems. Agricultural Water Management, 208, 59-66. doi:10.1016/j.agwat.2018.06.005","Plot","Quantitative","Experiment (research station)","E/M","2014-2016","3","4","3","1","4","1","2-4","3-4","Yes","Yes","Weather fluctuation","Kenya","Subsaharan Africa",1,"Upper Kabete Campus, University of Nairobi, Nairobi","Africa","LMIC","-1.25223440462695","36.728764710387701","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Pesticide to control potato blight and aphids on legumes; fertiliser, weeding, staking for beans and ridging for potatoes","Weed/pest management","Fertilizer rates/type","Non-Grain / Pea","Potato","Pea",0,0,0,0,0,0,0,0,0,1,"0",NA,"88-34-34","Synthetic - below threshold","rainfed","1.0626","NA","NA","NA","NA","NA","NA","NA","NA",1.0996,"NA","NA","NA","NA","NA","NA",1.0614,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes: cultivation cost (material assets - cost of inputs ie seed, fertilizer, fungicides, pesticides + labour) vs income gain (""highest cost of
 production was incurred under potato-legume intercropping systems ranging from US$ 1550 ha−1 in PG to US$ 1600 ha−1 in PD, compared
 to US$ 1450 ha−1 in PS. Nevertheless, these potato-legume intercropping
 systems were the most profitable with net income of US$ 9174,
 8496, 7884 ha−1 for PD, PB and PG, respectively compared to PS (US$
 7436 ha−1). This resulted in higher benefit: cost ratios"")","Smallholder farmers reliant on rain-fed agriculture","NA","Rainfall fluctuation (below average, highly concentrated into one rain event: legumes use available soil water more effectively than cereals due to higher groundcover which helps intercept rainfall)","NA","High market price of legumes over potato","NA","NA","NA",NA,2,2,2,2,2,2,12
95,199,"Gitari H.I., Gachene C.K.K., Karanja N.N., Kamau S., Nyawade S., Sharma K., Schulte-Geldermann E.",2018,"Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems","Gitari, H. I., Gachene, C. K. K., Karanja, N. N., Kamau, S., Nyawade, S., Sharma, K., & Schulte-Geldermann, E. (2018). Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems. Agricultural Water Management, 208, 59-66. doi:10.1016/j.agwat.2018.06.005","Plot","Quantitative","Experiment (research station)","E/M","2014-2016","3","4","3","1","4","1","2-4","3-4","Yes","Yes","Weather fluctuation","Kenya","Subsaharan Africa",1,"Upper Kabete Campus, University of Nairobi, Nairobi","Africa","LMIC","-1.25223440462695","36.728764710387701","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Pesticide to control potato blight and aphids on legumes; fertiliser, weeding, staking for beans and ridging for potatoes","Weed/pest management","Fertilizer rates/type","Non-Grain / Common bean","Potato","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"88-34-34","Synthetic - below threshold","rainfed","1.143","NA","NA","NA","NA","NA","NA","NA","NA",1.0755,"NA","NA","NA","NA","NA","NA",1.1517,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes: cultivation cost (material assets - cost of inputs ie seed, fertilizer, fungicides, pesticides + labour) vs income gain (""highest cost of
 production was incurred under potato-legume intercropping systems ranging from US$ 1550 ha−1 in PG to US$ 1600 ha−1 in PD, compared
 to US$ 1450 ha−1 in PS. Nevertheless, these potato-legume intercropping
 systems were the most profitable with net income of US$ 9174,
 8496, 7884 ha−1 for PD, PB and PG, respectively compared to PS (US$
 7436 ha−1). This resulted in higher benefit: cost ratios"")","Smallholder farmers reliant on rain-fed agriculture","NA","Rainfall fluctuation (below average, highly concentrated into one rain event: legumes use available soil water more effectively than cereals due to higher groundcover which helps intercept rainfall)","NA","High market price of legumes over potato","NA","NA","NA",NA,2,2,2,2,2,2,12
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Quantitative","Experiment (research station)","E/M","2015-2017","3","9","6","3","3","1","2-4","3-4","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Intercropping cereals with fodder legume crops like cowpea
and ricebean is a practice in the semi-arid tropics of India to
reduce the fragility and uncertainty of agricultural production
systems under rainfed upland situations. These systems
produce a considerable amount of biomass that can be
incorporated into the soil, transferring nutrients from the
crops to soil and enriching the organic carbon content. --Maize and other forage legumes such as sesbania,
cowpea, pigeonpea, ricebean, and mungbean are important
short-duration crops which provide more economic return
to growers than long-duration crops","India","South Asia",2,"Research Farm of All India Coordinated Research Project for Dryland
Agriculture (AICRPDA), Phulbani  in North Eastern Ghat Zone of Odisha","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping rice-legume","Intercrop",1,0,0,"Row","also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Fertilizer rates/type",NA,"Grain / Cowpea","Rice","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","0","N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF).","Synthetic - below threshold","rainfed","1.0733715103793844","NA","NA","NA","NA","NA","1.0880503144654088","NA","NA",0.935691318327974,"NA","NA","1.0509683187764658","NA","NA","NA",0.85055145859166,"0.94838709677419353","NA","NA","1.1399999999999999","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","The leguminous fodders as intercrops with cereal crops have
special significances because of high herbage protein for
animal feeding and partial independence from concentrate
for their nitrogen needs.","NA","The
leaf area of the rice crop in intercropping systems were found
to be significantly higher than that in monocropping system
because rice plants were getting more nitrogen from soil
due to nitrogen fixation of leguminous fodder crops. --- Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.",NA,"Table 8_Rainwater use efficiency (RWUE), land equivalent ratio (LER), energy use efficiency (EUE), and economics as influenced by different cropping systems and different nutrient management practices1)",NA,2,2,2,2,2,2,12
