"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
346,618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,"Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics","Thomas, G. A., Dalal, R. C., Weston, E. J., King, A. J., Holmes, C. J., Orange, D. N., & Lehane, K. J. (2010). Crop Rotations for Sustainable Grain Production on a Vertisol in the Semi-Arid Subtropics. Journal of Sustainable Agriculture, 35(1), 2-26. doi:10.1080/10440046.2011.530195","Plot","Quantitative","Experiment (on farm)","RC","1996-2005","10","3","2","1","3","1","5-10","3-4","Yes","Yes","Soil fertility decline, climate","Australia","High Income Countries",3,"St George, Queensland","Australia","HIC","-28.5","148.75","No","NA","Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Rotation","Rotation",1,0,0,"Rotation","Zero tillage; Two levels of N application (0, 70)","Tillage practices","Fertilizer rates/type","Grain / Chickpea","Wheat","Chickpea",1,0,0,0,0,0,0,0,0,0,"0",NA,"4-8-0, 74-8-0","Synthetic - below threshold","rainfed","1.16259274","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA",1.111509,"NA","NA","NA","2.3763285019999998","NA","NA","NA",1.1608008,"1.0374326","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","Seasonal conditions; Reduction of disease by chickpeas: ""The increase in grain yield in wheat following chickpea, compared with continuous wheat, was apparently due to the combined effects of the chickpea phase in providing soil nitrogen benefit and in reducing the build-up of plant disease"";","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""; History of nutrification of soil: ""chickpea biomass and N2 fixation for a particular value of soil nitrate-N may decrease as rainfall decreases and potential evapotranspiration increases, which may explain the lower N2 fixation values in south-west Queensland to some extent. Peoples et al. (2001) concluded that N2 fixation by legumes in summer-dominant rainfall regions of eastern Australia was greatly influenced by large variations in %Ndfa caused by yearly fluctuations in growing season (April to October) rainfall and farmer practice which resulted in a build up of soil mineral-N prior to sowing. The net result was a lower average reliance of legumes on N2 fixation for growth and more variable relationships between N2 fixation and dry matter accumulation than in winter-dominant rainfall areas""","Grain prices favourable for crop choice","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""",NA,"Table 5",NA,2,2,2,2,2,2,12
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain /  Groundnut","Cassava","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.91414141414141403","NA","NA","NA","NA","NA","NA","NA","NA","1.0581255000000001","NA","1.0514950000000001",1.6041667,"NA","NA","NA","3.0375000000000001","NA","NA","NA",1.6,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Soybean","Cassava","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84343434343434331","NA","NA","NA","NA","NA","NA","NA","NA","0.96145119999999995","NA","1.0830565000000001",1.0625,"NA","NA","NA","1.2749999999999999","NA","NA","NA",1.45,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Mungbean","Cassava","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84848484848484851","NA","NA","NA","NA","NA","NA","NA","NA","0.96659110000000004","NA","1.0472868",1.2083333,"NA","NA","NA","0.67500000000000004","NA","NA","NA",1.59,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
116,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain /  Cowpea","Cassava","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84343434343434331","NA","NA","NA","NA","NA","NA","NA","NA","1.1030234000000001","NA","1",1.5208333,"NA","NA","NA","0.41249999999999998","NA","NA","NA",1.5,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
182,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Quantitative","Experiment (research station)","E/M","2022","1","11","6","5","3","1","1","3-4","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Food security,nutritional security, nutirtional security, need to find another legume because soybean has been affected by rust disease.","India","South Asia",2,"Main Agricultural Research Station, Dharwad, Karnataka","Asia","LMIC","15.463467","75.045457999999996","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,1,0,"NA","also studying impact of differen row spacing and plants density ratio)","Varied spacing/timing",NA,"Grain / Rice bean","Maize","Ricebean",0,0,0,0,0,0,0,0,0,0,"Rice bean (Vigna umbellate)","0","75-75-37.5","Synthetic - below threshold","rainfed","1.343625498007968","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.24126984126984,"0.98752645477871615","NA","NA","1.371451509312781","1.1488250652741514","NA","NA",1.66,"1.2273684210526317","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","study revealed the possibility of
intercropping of non-conventional legumes namely
ricebean and frenchbean in 1:2 row proportions with
maize, while maize + frenchbean assured more
income due higher market price of frenchbean,
ricebean produced comparable maize equivalent
yield as that of recommended maize + soybean
system. However, protein yield was the highest with
the latter intercropping","Frenchbean as row intercrop in maize grown
in 1:2 row proportion in the Northern transitional
zone of Karnataka produced higher maize equivalent
yield (8068 kg ha-1) and assured more income (Rs.
29 054/- ha-1) while, intercropped ricebean was
comparable to maize + soybean in productivity.
Maize + soybean had higher protein output (851 kg
ha-1) than other systems.","NA","All the intercropping systems
assured better utilization of natural resources viz.,
land, light nutrients and water besides maintained
better available soil nitrogen status after crop harvest.","NA","NA","NA",NA,"Table 3_ yield, LER, BC ratio, protein yield, N uptake",NA,2,1,2,2,2,2,11
183,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Quantitative","Experiment (research station)","E/M","2022","1","11","9","2","3","1","1","3-4","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Food security,nutritional security, nutirtional security, need to find another legume because soybean has been affected by rust disease.","India","South Asia",2,"Main Agricultural Research Station, Dharwad, Karnataka","Asia","LMIC","15.463467","75.045457999999996","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,1,0,"NA","also studying impact of differen row spacing and plants density ratio)","Varied spacing/timing",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0","0","75-75-37.5","Synthetic - below threshold","rainfed","1.6819389110225764","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.23174603174603,"0.98570973723147204","NA","NA","1.7503532434168272","1.2845953002610966","NA","NA",1.695,"1.26","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","study revealed the possibility of
intercropping of non-conventional legumes namely
ricebean and frenchbean in 1:2 row proportions with
maize, while maize + frenchbean assured more
income due higher market price of frenchbean,
ricebean produced comparable maize equivalent
yield as that of recommended maize + soybean
system. However, protein yield was the highest with
the latter intercropping","Frenchbean as row intercrop in maize grown
in 1:2 row proportion in the Northern transitional
zone of Karnataka produced higher maize equivalent
yield (8068 kg ha-1) and assured more income (Rs.
29 054/- ha-1) while, intercropped ricebean was
comparable to maize + soybean in productivity.
Maize + soybean had higher protein output (851 kg
ha-1) than other systems.","NA","All the intercropping systems
assured better utilization of natural resources viz.,
land, light nutrients and water besides maintained
better available soil nitrogen status after crop harvest.","NA","NA","NA",NA,"Table 3_ yield, LER, BC ratio, protein yield, N uptake",NA,2,1,2,2,2,2,11
184,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Quantitative","Experiment (research station)","E/M","2022","1","11","9","2","3","1","1","3-4","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Food security,nutritional security, nutirtional security, need to find another legume because soybean has been affected by rust disease.","India","South Asia",2,"Main Agricultural Research Station, Dharwad, Karnataka","Asia","LMIC","15.463467","75.045457999999996","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,1,0,"NA","also studying impact of differen row spacing and plants density ratio)","Varied spacing/timing",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0","0","75-75-37.5","Synthetic - below threshold","rainfed","1.3478308986277114","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.51111111111111,"0.99258329743599338","NA","NA","1.35","1.0861618798955615","NA","NA",1.695,"1.7","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","study revealed the possibility of
intercropping of non-conventional legumes namely
ricebean and frenchbean in 1:2 row proportions with
maize, while maize + frenchbean assured more
income due higher market price of frenchbean,
ricebean produced comparable maize equivalent
yield as that of recommended maize + soybean
system. However, protein yield was the highest with
the latter intercropping","Frenchbean as row intercrop in maize grown
in 1:2 row proportion in the Northern transitional
zone of Karnataka produced higher maize equivalent
yield (8068 kg ha-1) and assured more income (Rs.
29 054/- ha-1) while, intercropped ricebean was
comparable to maize + soybean in productivity.
Maize + soybean had higher protein output (851 kg
ha-1) than other systems.","NA","All the intercropping systems
assured better utilization of natural resources viz.,
land, light nutrients and water besides maintained
better available soil nitrogen status after crop harvest.","NA","NA","NA",NA,"Table 3_ yield, LER, BC ratio, protein yield, N uptake",NA,2,1,2,2,2,2,11
201,412,"Narkhede W.N., Deshmukh M.S., Bhale V.M., Gill M.S., Gadade G.D., More S.S.",2011,"Diversification of cropping systems under assured irrigated conditions in central plateau zone of Maharashtra","Narkhede, W. N., Deshmukh, M. S., Bhale, V. M., Gill, M. S., Gadade, G. D., & More, S. S. (2011). Diversification of cropping systems under assured irrigated conditions in central plateau zone of Maharashtra. Indian Journal of Agronomy, 56(2), 104-108.","Plot","Quantitative","Experiment (research station)","E/M","2005-2007","3","2","1","1","3","1","2-4","3-4","Yes","Yes",NA,"India","South Asia",2,"Marathwada Krishi Vidyapeeth, Parbhani","Asia","LMIC","19.266667000000002","76.783332999999999","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Cowpea","Maize-wheat","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"100-50-50","Synthetic - below threshold","irrigation","1.1599999999999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0976361790983,"NA","NA","NA","1.0161023947151115","NA","NA","1.2097378277153559",0.9358,"NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Table 1 (yield/incom); soil N (Table 4); Labour req. (Table 2)",NA,2,2,2,2,2,2,12
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Quantitative","Experiment (research station)","E/M","2015-2017","3","9","6","3","3","1","2-4","3-4","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Intercropping cereals with fodder legume crops like cowpea
and ricebean is a practice in the semi-arid tropics of India to
reduce the fragility and uncertainty of agricultural production
systems under rainfed upland situations. These systems
produce a considerable amount of biomass that can be
incorporated into the soil, transferring nutrients from the
crops to soil and enriching the organic carbon content. --Maize and other forage legumes such as sesbania,
cowpea, pigeonpea, ricebean, and mungbean are important
short-duration crops which provide more economic return
to growers than long-duration crops","India","South Asia",2,"Research Farm of All India Coordinated Research Project for Dryland
Agriculture (AICRPDA), Phulbani  in North Eastern Ghat Zone of Odisha","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping rice-legume","Intercrop",1,0,0,"Row","also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Fertilizer rates/type",NA,"Grain / Cowpea","Rice","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","0","N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF).","Synthetic - below threshold","rainfed","1.0733715103793844","NA","NA","NA","NA","NA","1.0880503144654088","NA","NA","0.93569131832797436","NA","NA",1.05096831877647,"NA","NA","NA","0.85055145859165959","0.94838709677419353","NA","NA",1.14,"NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","The leguminous fodders as intercrops with cereal crops have
special significances because of high herbage protein for
animal feeding and partial independence from concentrate
for their nitrogen needs.","NA","The
leaf area of the rice crop in intercropping systems were found
to be significantly higher than that in monocropping system
because rice plants were getting more nitrogen from soil
due to nitrogen fixation of leguminous fodder crops. --- Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.",NA,"Table 8_Rainwater use efficiency (RWUE), land equivalent ratio (LER), energy use efficiency (EUE), and economics as influenced by different cropping systems and different nutrient management practices1)",NA,2,2,2,2,2,2,12
