uniqueID,StudyID_IDALL,Title,Country,Continent,WB.Nat.Inc.Group,WB.Group2,Intensification.actors,Actors.categories,Lead,Farmer.led,joint.outcome,overall.outcome,Latitude_Decimal_Degrees_N,Longitude _Decimal_Degrees_E,Title,Case.countries,Continent,Row_ID,Paper_ID,ID_FullText,Latitude,Longitude,Combined.ecological.social.outcome,hfp_2000,hfp_2018,hfp_av,studyID,HDI2022,HDIav,HDI1990,BackdateSDGIndex2000,SDGav,SDG2023,Country,random.effect,random.effect2,Pop1990,IneqInc2010,poverty_year,poverty_gap,poverty_severity,WB.year1,WB2017.pov.headcount.1990,WB2017.povgap.1990,WB2017.povseverity.1990,WB2017.decile20.1990,WB.year2,WB2017.pov.headcount.2000,WB2017.povgap.2000,WB2017.povseverity.2000,WB2017.decile20.2000,Equal.p0p100,Equal.p0p50,Equal.p90p100,Equal.p99p100,Equal.pall
350,622,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Burkina Faso,Africa,LIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Lose,negative,NA,NA,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Burkina Faso,Africa,307,622,255,12.36313764,-1.523138373,Lose-Lose,38.123806,38.123806,38.123806,622,0.492,0.406652174,0.286,43.7,48.9,55.2,Ethiopia,NthandW.Africa,Africa.SubSah,47.8780735,34.36691,1981,0.255120473,0.117820411,1995,0.969276417,0.708518063,0.544513349,0.037519175,1999,0.980328192,0.67509391,0.48714399,0.05264707,0.26730001,0.1137,0.5829,0.2969,1645.3963
351,622,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Ethiopia,Africa,LIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Lose,negative,NA,NA,Nutrient management in African sorghum cropping systems: applying meta-analysis to assess yield and profitability,Ethiopia,Africa,308,622,255,9.019071903,38.75423335,Lose-Lose,38.05722046,38.05722046,38.05722046,622,0.55,0.478515152,0.479,57.1,56.3,57.8,Zimbabwe,Sth.Africa,Africa.Sth,488.5727695,40.56120989,2011,0.052377769,0.016843888,2011,0.78477,0.404895683,0.247938297,0.033481037,2011,0.78477,0.404895683,0.247938297,0.033481037,0.31189999,0.1125,0.5255,0.1749,33.0652
223,435,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,Kenya,Africa,LMIC,Low,Farmer-led,Farmer-led,Farmer-led,1,Lose-Lose,negative,7.383333,34.733333,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,Kenya,Africa,186,435,171,7.383333,34.733333,Lose-Lose,2.263837099,2.698074341,2.48095572,435,0.601,0.530818182,0.48,51.2,56.5,62.2,Kenya,SubSah.Africa,Africa.SubSah,23.1622695,51.66112,1992,0.094083662,0.046138094,1992,0.75412,0.416089095,0.273785234,0.021733205,1997,0.825667804,0.44467879,0.281039116,0.032905244,0.27599999,0.1236,0.5114,0.1897,7553.7424
185,390,Productivity and profitability of upland crop rotations in Northwest Cambodia,Cambodia,Asia,LMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Lose,negative,12.870833,102.610556,Productivity and profitability of upland crop rotations in Northwest Cambodia,Cambodia,Asia,151,390,144,12.870833,102.610556,Lose-Lose,23.65786362,29.40717506,26.53251934,390,0.6,0.496636364,0.379,49.1,56.6,64.9,Cambodia,Asia,Asia.SE,8.910808,31.72739,1992,0.129285817,0.051281684,1990,0.964208588,0.68977416,0.521312574,0.045414187,2000,0.897650749,0.545629006,0.372976437,0.043530733,0.36860001,0.0878,0.5574,0.2679,2181.3377
273,510,"Does intercropping of baby corn (Zea mays l.) with pulse legumes improve soil fertility, crop productivity and profitability?",Thailand,Asia,UMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Lose,negative,14.642869,101.315256,"Does intercropping of baby corn (Zea mays l.) with pulse legumes improve soil fertility, crop productivity and profitability?",Thailand,Asia,236,510,204,14.642869,101.315256,Lose-Lose,29.302845,31.01022911,30.15653706,510,0.803,0.709939394,0.581,66.2,70.3,74.7,Thailand,Asia,Asia.SE,55.2284095,23.37092,1990,0.025394286,0.008075929,1990,0.729612072,0.353233351,0.202720464,0.034641812,2000,0.598660734,0.237632888,0.118875785,0.035955665,0.44530001,0.0956,0.5706,0.2347,10744.7395
229,435,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,Kenya,Africa,LMIC,Low,Farmer-led,Farmer-led,Farmer-led,1,Lose-Mix,negative,0,34.683333,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,Kenya,Africa,192,435,171,0,34.683333,Lose-Mix,23.41075134,24.30368042,23.85721588,435,0.601,0.530818182,0.48,51.2,56.5,62.2,Kenya,SubSah.Africa,Africa.SubSah,23.1622695,51.66112,1992,0.094083662,0.046138094,1992,0.75412,0.416089095,0.273785234,0.021733205,1997,0.825667804,0.44467879,0.281039116,0.032905244,0.27599999,0.1236,0.5114,0.1897,7553.7424
83,768,Co-learning cycles to support the design of innovative farm systems in southern Mali,Mali,Africa,LIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Mix,negative,"12.284518897111528, -5.342026519362749 / 
12.324141139442702, -5.309194020693147 / 
12.363462187700772, -5.346383977058427 / 
12.290785333161283, -5.496685476696215 /
12.755592813272688, -5.826635343042835/ 
12.250070539502527, -5.175471929377544 /
 12.28121802792912, -5.259616713631484 / 
12.284425887073713, -5.348305433441962
","12.284518897111528, -5.342026519362749 / 
12.324141139442702, -5.309194020693147 / 
12.363462187700772, -5.346383977058427 / 
12.290785333161283, -5.496685476696215 /
12.755592813272688, -5.826635343042835/ 
12.250070539502527, -5.175471929377544 /
 12.28121802792912, -5.259616713631484 / 
12.284425887073713, -5.348305433441962
",Co-learning cycles to support the design of innovative farm systems in southern Mali,Mali,Africa,366,768,353,12.2845189,-5.342026519,Lose-Mix,22.14599037,24.18006706,23.16302872,768,0.41,0.351393939,0.236,46.1,52.2,56.8,Mali,NthandW.Africa,Africa.NW,8.945026,45.57928,1994,0.512351071,0.352756292,1994,0.980602443,0.809643792,0.693394752,0.028488464,2001,0.957964527,0.6491111,0.478603971,0.037863717,0.2638,0.093,0.5854,0.2165,2608.984
308,564,Improved cowpea-cereals-based cropping systems for household food security and poverty reduction in West Africa,Nigeria,Africa,LMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Mix,negative,11.980343,8.558196,Improved cowpea-cereals-based cropping systems for household food security and poverty reduction in West Africa,Nigeria,Africa,268,564,231,11.980343,8.558196,Lose-Mix,38.19740295,38.19740295,38.19740295,564,0.548,0.5034,0.449,46.1,51.5,54.6,Nigeria,NthandW.Africa,Africa.NW,95.2142565,19.0779,1985,0.183864032,0.091797194,1992,0.926869609,0.618792574,0.463470008,0.026613855,2003,0.942109899,0.609931238,0.437438371,0.035585967,0.2983,0.1154,0.4679,0.1126,6085.0259
309,564,Improved cowpea-cereals-based cropping systems for household food security and poverty reduction in West Africa,Nigeria,Africa,LMIC,Low,Researcher-led,Researcher-led,Researcher-led,0,Lose-Mix,negative,11.980343,8.558196,Improved cowpea-cereals-based cropping systems for household food security and poverty reduction in West Africa,Nigeria,Africa,269,564,231,11.980343,8.558196,Lose-Mix,38.19740295,38.19740295,38.19740295,564,0.548,0.5034,0.449,46.1,51.5,54.6,Nigeria,NthandW.Africa,Africa.NW,95.2142565,19.0779,1985,0.183864032,0.091797194,1992,0.926869609,0.618792574,0.463470008,0.026613855,2003,0.942109899,0.609931238,0.437438371,0.035585967,0.2983,0.1154,0.4679,0.1126,6085.0259
186,396,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,Zimbabwe,Africa,LMIC,Low,Farmer-led + support by researchers,Farmer-led + researcher/extension,Farmer-led,1,Lose-Mix,negative,-18.166667,32.416667,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,Zimbabwe,Africa,152,396,146,-18.166667,32.416667,Lose-Mix,8.609455109,9.55570507,9.08258009,396,0.55,0.478515152,0.479,57.1,56.3,57.8,Zimbabwe,Sth.Africa,Africa.Sth,488.5727695,40.56120989,2011,0.052377769,0.016843888,2011,0.78477,0.404895683,0.247938297,0.033481037,2011,0.78477,0.404895683,0.247938297,0.033481037,0.31189999,0.1125,0.5255,0.1749,33.0652
